EventName,Country,Location,Year,StartTime,lat,lon,temperature_2m,apparent_temperature,relative_humidity_2m,dew_point_2m,precipitation,rain,showers,snowfall,weather_code,cloud_cover,surface_pressure,wind_speed_10m,wind_gusts_10m,wind_direction_10m,condition,is_wet,track_air_delta
Monaco Grand Prix,Monaco,Monaco,2021,2021-05-23 13:00:00+00:00,43.737,7.429,21.0,20.7,47,9.2,0.0,0.0,0.0,0.0,3,88,1014.4,9.8,47.5,107,Overcast,False,
Azerbaijan Grand Prix,Azerbaijan,Baku,2021,2021-06-06 12:00:00+00:00,40.369,49.842,23.2,22.0,56,14.1,0.0,0.0,0.0,0.0,0,2,1014.4,20.8,46.1,14,Clear sky,False,
French Grand Prix,France,Le Castellet,2021,2021-06-20 13:00:00+00:00,43.253,5.791,27.5,25.6,41,13.1,0.1,0.1,0.0,0.0,51,33,961.6,25.0,62.6,134,Light drizzle,False,
Styrian Grand Prix,Austria,Spielberg,2021,2021-06-27 13:00:00+00:00,47.223,14.761,26.7,26.8,38,11.1,0.0,0.0,0.0,0.0,3,97,937.6,5.4,23.8,180,Overcast,False,
Austrian Grand Prix,Austria,Spielberg,2021,2021-07-04 13:00:00+00:00,47.223,14.761,19.7,18.8,57,10.9,0.0,0.0,0.0,0.0,3,100,933.4,7.7,23.0,127,Overcast,False,
British Grand Prix,Great Britain,Silverstone,2021,2021-07-18 14:00:00+00:00,52.072,-1.017,28.0,30.6,46,15.3,0.0,0.0,0.0,0.0,0,0,1007.0,5.8,16.9,292,Clear sky,False,
Hungarian Grand Prix,Hungary,Budapest,2021,2021-08-01 13:00:00+00:00,47.583,19.25,27.5,28.0,52,16.9,0.6,0.6,0.0,0.0,53,100,981.3,12.9,42.1,193,Moderate drizzle,True,
Belgian Grand Prix,Belgium,Spa-Francorchamps,2021,2021-08-29 13:00:00+00:00,50.436,5.971,12.9,9.6,89,11.2,0.3,0.3,0.0,0.0,51,100,974.2,25.4,52.2,322,Light drizzle,True,
Dutch Grand Prix,Netherlands,Zandvoort,2021,2021-09-05 13:00:00+00:00,52.389,4.541,21.4,21.1,54,11.7,0.0,0.0,0.0,0.0,0,0,1021.4,10.3,25.9,61,Clear sky,False,
Italian Grand Prix,Italy,Monza,2021,2021-09-12 13:00:00+00:00,45.621,9.29,28.6,29.0,37,12.6,0.0,0.0,0.0,0.0,1,24,994.1,4.8,18.0,167,Mainly clear,False,
