Year,EventName,Country,Location,StartTime,lat,lon,wet_at_start_confirmed
2023,São Paulo Grand Prix,Brazil,São Paulo,2023-11-05 17:00:00+00:00,-23.702,-46.698,False
2023,Las Vegas Grand Prix,United States,Las Vegas,2023-11-19 06:00:00+00:00,36.116,-115.168,False
2023,Abu Dhabi Grand Prix,Abu Dhabi,Yas Marina,2023-11-26 13:00:00+00:00,24.471,54.601,False
2024,Bahrain Grand Prix,Bahrain,Sakhir,2024-03-02 15:00:00+00:00,26.031,50.512,False
2024,Saudi Arabian Grand Prix,Saudi Arabia,Jeddah,2024-03-09 17:00:00+00:00,21.632,39.104,False
2024,Australian Grand Prix,Australia,Melbourne,2024-03-24 04:00:00+00:00,-37.846,144.97,False
2024,Japanese Grand Prix,Japan,Suzuka,2024-04-07 05:00:00+00:00,34.844,136.534,False
2024,Chinese Grand Prix,China,Shanghai,2024-04-21 07:00:00+00:00,31.34,121.221,False
2024,Miami Grand Prix,United States,Miami,2024-05-05 20:00:00+00:00,25.958,-80.239,False
2024,Emilia Romagna Grand Prix,Italy,Imola,2024-05-19 13:00:00+00:00,44.341,11.713,False
2024,Monaco Grand Prix,Monaco,Monaco,2024-05-26 13:00:00+00:00,43.737,7.429,False
2024,Canadian Grand Prix,Canada,Montréal,2024-06-09 18:00:00+00:00,45.506,-73.525,True
2024,Spanish Grand Prix,Spain,Barcelona,2024-06-23 13:00:00+00:00,41.569,2.259,False
2024,Austrian Grand Prix,Austria,Spielberg,2024-06-30 13:00:00+00:00,47.223,14.761,False
2024,British Grand Prix,United Kingdom,Silverstone,2024-07-07 14:00:00+00:00,52.072,-1.017,False
2024,Hungarian Grand Prix,Hungary,Budapest,2024-07-21 13:00:00+00:00,47.583,19.25,False
2024,Belgian Grand Prix,Belgium,Spa-Francorchamps,2024-07-28 13:00:00+00:00,50.436,5.971,False
2024,Dutch Grand Prix,Netherlands,Zandvoort,2024-08-25 13:00:00+00:00,52.389,4.541,False
2024,Italian Grand Prix,Italy,Monza,2024-09-01 13:00:00+00:00,45.621,9.29,False
2024,Azerbaijan Grand Prix,Azerbaijan,Baku,2024-09-15 11:00:00+00:00,40.369,49.842,False
2024,Singapore Grand Prix,Singapore,Singapore,2024-09-22 12:00:00+00:00,1.291,103.859,False
2024,United States Grand Prix,United States,Austin,2024-10-20 19:00:00+00:00,30.135,-97.633,False
2024,Mexico City Grand Prix,Mexico,Mexico City,2024-10-27 20:00:00+00:00,19.402,-99.091,False
2024,São Paulo Grand Prix,Brazil,São Paulo,2024-11-03 15:30:00+00:00,-23.702,-46.698,True
2024,Las Vegas Grand Prix,United States,Las Vegas,2024-11-24 06:00:00+00:00,36.116,-115.168,False
2024,Qatar Grand Prix,Qatar,Lusail,2024-12-01 16:00:00+00:00,25.49,51.454,False
2024,Abu Dhabi Grand Prix,United Arab Emirates,Yas Marina,2024-12-08 13:00:00+00:00,24.471,54.601,False
2025,Australian Grand Prix,Australia,Melbourne,2025-03-16 04:00:00+00:00,-37.846,144.97,True
2025,Chinese Grand Prix,China,Shanghai,2025-03-23 07:00:00+00:00,31.34,121.221,False
2025,Japanese Grand Prix,Japan,Suzuka,2025-04-06 05:00:00+00:00,34.844,136.534,False
2025,Bahrain Grand Prix,Bahrain,Sakhir,2025-04-13 15:00:00+00:00,26.031,50.512,False
2025,Saudi Arabian Grand Prix,Saudi Arabia,Jeddah,2025-04-20 17:00:00+00:00,21.632,39.104,False
2025,Miami Grand Prix,United States,Miami,2025-05-04 20:00:00+00:00,25.958,-80.239,False
2025,Emilia Romagna Grand Prix,Italy,Imola,2025-05-18 13:00:00+00:00,44.341,11.713,False
2025,Monaco Grand Prix,Monaco,Monaco,2025-05-25 13:00:00+00:00,43.737,7.429,False
2025,Spanish Grand Prix,Spain,Barcelona,2025-06-01 13:00:00+00:00,41.569,2.259,False
2025,Canadian Grand Prix,Canada,Montréal,2025-06-15 18:00:00+00:00,45.506,-73.525,False
2025,Austrian Grand Prix,Austria,Spielberg,2025-06-29 13:00:00+00:00,47.223,14.761,False
2025,British Grand Prix,United Kingdom,Silverstone,2025-07-06 14:00:00+00:00,52.072,-1.017,True
2025,Belgian Grand Prix,Belgium,Spa-Francorchamps,2025-07-27 13:00:00+00:00,50.436,5.971,True
2025,Hungarian Grand Prix,Hungary,Budapest,2025-08-03 13:00:00+00:00,47.583,19.25,False
2025,Dutch Grand Prix,Netherlands,Zandvoort,2025-08-31 13:00:00+00:00,52.389,4.541,False
2025,Italian Grand Prix,Italy,Monza,2025-09-07 13:00:00+00:00,45.621,9.29,False
2025,Azerbaijan Grand Prix,Azerbaijan,Baku,2025-09-21 11:00:00+00:00,40.369,49.842,False
2025,Singapore Grand Prix,Singapore,Singapore,2025-10-05 12:00:00+00:00,1.291,103.859,False
2025,United States Grand Prix,United States,Austin,2025-10-19 19:00:00+00:00,30.135,-97.633,False
2025,Mexico City Grand Prix,Mexico,Mexico City,2025-10-26 20:00:00+00:00,19.402,-99.091,False
2025,São Paulo Grand Prix,Brazil,São Paulo,2025-11-09 17:00:00+00:00,-23.702,-46.698,False
2025,Las Vegas Grand Prix,United States,Las Vegas,2025-11-23 04:00:00+00:00,36.116,-115.168,False
2025,Qatar Grand Prix,Qatar,Lusail,2025-11-30 16:00:00+00:00,25.49,51.454,False
2025,Abu Dhabi Grand Prix,United Arab Emirates,Yas Marina,2025-12-07 13:00:00+00:00,24.471,54.601,False
