EventName,Country,Location,StartTime,Year,lon,lat
Emilia Romagna Grand Prix,Italy,Imola,2025-05-18 13:00:00,2025,11.713,44.341
Monaco Grand Prix,Monaco,Monaco,2025-05-25 13:00:00,2025,7.429,43.737
Spanish Grand Prix,Spain,Barcelona,2025-06-01 13:00:00,2025,2.259,41.569
Canadian Grand Prix,Canada,Montréal,2025-06-15 18:00:00,2025,-73.525,45.506
Austrian Grand Prix,Austria,Spielberg,2025-06-29 13:00:00,2025,14.761,47.223
British Grand Prix,United Kingdom,Silverstone,2025-07-06 14:00:00,2025,-1.017,52.072
Belgian Grand Prix,Belgium,Spa-Francorchamps,2025-07-27 13:00:00,2025,5.971,50.436
Hungarian Grand Prix,Hungary,Budapest,2025-08-03 13:00:00,2025,19.25,47.583
Dutch Grand Prix,Netherlands,Zandvoort,2025-08-31 13:00:00,2025,4.541,52.389
Italian Grand Prix,Italy,Monza,2025-09-07 13:00:00,2025,9.29,45.621
Azerbaijan Grand Prix,Azerbaijan,Baku,2025-09-21 11:00:00,2025,49.842,40.369
Singapore Grand Prix,Singapore,Singapore,2025-10-05 12:00:00,2025,103.859,1.291
United States Grand Prix,United States,Austin,2025-10-19 19:00:00,2025,-97.633,30.135
Mexico City Grand Prix,Mexico,Mexico City,2025-10-26 20:00:00,2025,-99.091,19.402
São Paulo Grand Prix,Brazil,São Paulo,2025-11-09 17:00:00,2025,-46.698,-23.702
Las Vegas Grand Prix,United States,Las Vegas,2025-11-23 04:00:00,2025,-115.168,36.116
Qatar Grand Prix,Qatar,Lusail,2025-11-30 16:00:00,2025,51.454,25.49
Abu Dhabi Grand Prix,United Arab Emirates,Yas Marina,2025-12-07 13:00:00,2025,54.601,24.471
